,primaryName,avg(CAST(averageRating AS DOUBLE)),sum(CAST(numVotes AS DOUBLE))
0,Gary A. Rizzo,8.549999999999999,6608161.0
1,Orlando Bloom,8.6,5908464.0
2,Elijah Wood,8.675,5809169.0
3,Katie Jackson,8.55,5649172.0
4,Leonardo DiCaprio,8.325,5622862.0
5,Jonathan Nolan,8.675,5572719.0
6,Michael Babcock,7.825,5498058.0
7,Dominic Monaghan,8.675,5386502.0
8,David Williams,8.525,5287409.0
9,Brandon Lambdin,7.8500000000000005,5168786.0
10,Sean Astin,8.55,5130386.0
11,Michaela Maguire,8.15,5104683.0
12,Cillian Murphy,8.15,5093183.0
13,Billy Jackson,8.274999999999999,5041624.0
14,Amy Hubbard,8.125,4994997.0
15,Jarl Benzon,8.125,4994997.0
16,Emily Lascelles,8.174999999999999,4990529.0
17,Brian Campbell,8.375,4964583.0
18,Buster Reeves,8.075,4848704.0
19,Tom Hardy,8.1,4704188.0
20,Christian Bale,8.0,4653631.0
21,Olivia McCallum,7.825,4621630.0
22,Andrew Lockley,8.15,4607316.0
23,Thomas Middleton,7.775,4430390.0
24,Nathan Spencer,8.025,4425708.0
25,Justin Michael Woods,8.3,4212957.0
26,Scott Douglas,7.175,4208955.0
27,Lin Oeding,8.05,4186521.0
28,Chris Ung,7.625,4148995.0
29,Manny Padilla,7.425000000000001,4085057.0
30,Andrew Ewert,7.625,4075094.0
31,Brinton Bryan,7.725,4063426.0
32,David Raymond,7.825,4047918.0
33,Zack Smith,7.75,4025198.0
34,Deborah Riley,8.3,4022398.0
35,Tim Nielsen,7.95,4006516.0
36,Joe Nin Williams,8.25,3988141.0
37,Neil Tomlin,8.100000000000001,3919041.0
38,Liv Tyler,7.65,3888495.0
39,Karl Urban,7.674999999999999,3877808.0
40,Lauren Cokeley,7.324999999999999,3853828.0
41,Stephen Coleman,7.9750000000000005,3789293.0
42,Lena Schmigalla,7.725000000000001,3772856.0
43,Paul Brannan,7.525000000000001,3767636.0
44,David Gyasi,7.800000000000001,3742665.0
45,Kevin Derr,7.95,3733552.0
46,Vanessa Chiara,7.3,3732504.0
47,Sam Estes,7.65,3711865.0
48,Catherine Maguire,7.7250000000000005,3701360.0
49,Chris Antonini,7.7250000000000005,3697790.0
50,Lisa McAllister,8.15,3695167.0
51,John van Leeuwen,8.025,3691994.0
52,Ramin Djawadi,8.175,3683626.0
53,Joe Wehmeyer,7.8,3683492.0
54,Jennifer Cram,6.65,3646513.0
55,Barnaby Robson,7.725,3642893.0
56,Zachary Fannin,7.4750000000000005,3642801.0
57,Aaron Steven,7.574999999999999,3639940.0
58,Alexander Hamilton Westmore,7.2,3630416.0
59,Florian Martin,7.15,3623729.0
60,Toby Wood,6.775,3620730.0
61,Brannon D. Brown,7.35,3618668.0
62,Suzanne Slatcher,8.175,3606703.0
63,Chris Evans,7.775,3606065.0
64,Sean England,7.725,3585275.0
65,Daniel P. Rosen,7.675,3579142.0
66,Todd Manes,7.9,3578039.0
67,James Winnifrith,7.1499999999999995,3564360.0
68,Gwendoline Christie,7.700000000000001,3555809.0
69,Lance Powell,7.45,3552772.0
70,Brian Magerkurth,7.949999999999999,3549311.0
71,Ben Perry,6.6,3548913.0
72,Joe DeWalt Brown,7.175000000000001,3530705.0
73,Brandan Dennehy,7.3,3517506.0
74,Ben Gunsberger,7.8,3509430.0
75,Yann Jouannic,7.675000000000001,3494894.0
76,Kevin Feige,8.025,3471901.0
77,Ryan Allen,7.375,3452006.0
78,Chris O'Hara,7.0874999999999995,3451489.0
79,Gina Willis,7.05,3445000.0
80,Elliot Page,7.800000000000001,3436575.0
81,Heidi Moneymaker,8.025,3426850.0
82,Jon Kralt,7.5249999999999995,3424724.0
83,Carol Madrigal,7.85,3406775.0
84,Alexandre Thiery,7.450000000000001,3404375.0
85,Florian Robin,7.35,3400646.0
86,Fred Raskin,7.824999999999999,3396106.0
87,Zoe Saldana,7.825,3370490.0
88,Brian M. Rosen,8.15,3357736.0
89,Mark Aaron Wagner,7.625,3350930.0
90,Jill Berger,7.675000000000001,3334651.0
91,Dara Norman,7.5,3311365.0
92,Chad Keller,7.325,3291335.0
93,Tom Hiddleston,7.449999999999999,3271482.0
94,Jacob Tomuri,7.824999999999999,3244749.0
95,Adam Hlavac,7.675000000000001,3243503.0
96,Daniel Leatherdale,7.425,3239836.0
97,Robert Hoehn,7.4,3226370.0
98,Danielle Hartnett,8.0,3225130.0
99,Samuel M. Dabbs,7.825,3224463.0
